key,value
"Pine Hill, Camden County",179
"East Windsor, Mercer County",178
"Middle, Cape May County",173
"Maple Shade, Burlington County",173
"Berkeley, Ocean County",171
"Wall, Monmouth County",170
"Parsippany, Morris County",168
"Burlington City, Burlington County",165
"Mount Laurel, Burlington County",165
"Montclair, Essex County",163
"West Deptford, Gloucester County",163
"Kearny, Hudson County",159
"Belmar, Monmouth County",158
"Ocean City, Cape May County",154
"Hillsborough, Somerset County",152
"Aberdeen, Monmouth County",151
"Hillside, Union County",149
"Pennsville, Salem County",148
"Bound Brook, Somerset County",144
"Stafford, Ocean County",141
"Cranford, Union County",138
"South Plainfield, Middlesex County",136
"Roxbury, Morris County",136
"Tinton Falls, Monmouth County",135
"Ridgewood, Bergen County",133
"Barnegat, Ocean County",133
"Plainsboro, Middlesex County",130
"Paulsboro, Gloucester County",129
"Salem City, Salem County",129
"Elmwood Park, Bergen County",129
"Woodbury, Gloucester County",128
"South Brunswick, Middlesex County",128
"Lyndhurst, Bergen County",127
"Mount Olive, Morris County",124
"Sea Isle City, Cape May County",124
"Haledon, Passaic County",123
"Ramsey, Bergen County",122
"Rahway, Union County",122
"Fairfield, Essex County",120
"Hammonton, Atlantic County",119
"Marlboro, Monmouth County",118
"Wayne, Passaic County",118
"Clark, Union County",114
"Edgewater, Bergen County",113
"Pompton Lakes, Passaic County",113
"Riverside, Burlington County",112
"Manalapan, Monmouth County",112
"Point Pleasant, Ocean County",110
"Hopewell twp, Mercer County",110
"Hazlet, Monmouth County",109
"Bordentown Town, Burlington County",108
"Ridgefield Park, Bergen County",107
"Dunellen, Middlesex County",107
"Roselle Park, Union County",106
"Manasquan, Monmouth County",105
"Madison, Morris County",105
"South Orange, Essex County",104
"Mantua, Gloucester County",104
"Freehold Boro, Monmouth County",104
"Randolph, Morris County",103
"Monroe, Middlesex County",102
"Harrison, Hudson County",102
"Washington Township, Warren County",101
"Englewood, Bergen County",100
"Keansburg, Monmouth County",97
"Lower Township, Cape May County",97
"Robbinsville, Mercer County",95
"Beachwood, Ocean County",94
"Penns Grove, Salem County",94
"Fairlawn, Bergen County",93
"Franklin Township, Gloucester County",92
"Wharton, Morris County",91
"Burlington Town, Burlington County",90
"Highland Park, Middlesex County",89
"Lumberton, Burlington County",87
"Middlesex, Middlesex County",87
"Barrington, Camden County",87
"Wyckoff, Bergen County",86
"Stratford, Camden County",86
"Bradley Beach, Monmouth County",86
"Bernards, Somerset County",85
"Morris Township, Morris County",85
"Cinnaminson, Burlington County",85
"Phillipsburg, Warren County",84
"Sea Girt, Monmouth County",84
"Bergenfield, Bergen County",83
"Westfield, Union County",82
"Westhampton, Burlington County",82
"Livingston, Essex County",81
"Woodland Park, Passaic County",81
"Newton, Sussex County",81
"Palmyra, Burlington County",81
"Guttenberg, Hudson County",80
"Caldwell, Essex County",80
"Old Bridge, Middlesex County",78
"Lodi, Bergen County",78
"Freehold, Monmouth County",78
"Holmdel, Monmouth County",78
"Matawan, Monmouth County",77
"Glen Ridge, Essex County",76
"Green Brook, Somerset County",75
"Waterford, Camden County",74
"Boonton, Morris County",73
"Carney_s Point, Salem County",73
"Hawthorne, Passaic County",73
"Ventnor City, Atlantic County",73
"Montville, Morris County",73
"Delran, Burlington County",72
"Manville, Somerset County",72
"Vernon, Sussex County",72
"Fairview, Bergen County",71
"South Amboy, Middlesex County",71
"Jefferson, Morris County",71
"Cape May, Cape May County",71
"Princeton, Mercer County",69
"Ocean Township, Ocean County",68
"Mahwah, Bergen County",68
"Hanover, Morris County",68
"North Arlington, Bergen County",67
"Denville, Morris County",66
"Westwood, Bergen County",66
"Branchburg, Somerset County",66
"Flemington, Hunterdon County",65
"Clementon, Camden County",65
"Berlin Boro, Camden County",64
"Bellmawr, Camden County",64
"Rutherford, Bergen County",63
"Spotswood, Middlesex County",62
"Seaside Park, Ocean County",59
"Highlands Boro, Monmouth County",59
"Rochelle Park, Bergen County",59
"Westville, Gloucester County",58
"Neptune City, Monmouth County",58
"West Windsor, Mercer County",58
"Absecon, Atlantic County",58
"Clayton, Gloucester County",58
"Sea Bright, Monmouth County",57
"Ringwood, Passaic County",57
"Somers Point, Atlantic County",57
"Ocean Port, Monmouth County",57
"Little Falls, Passaic County",55
"Wildwood Crest, Cape May County",55
"Weehawken, Hudson County",54
"Bogota, Bergen County",54
"Hightstown, Mercer County",54
"Florence, Burlington County",54
"Scotch Plains, Union County",53
"Long Beach Township, Ocean County",53
"Beverly, Burlington County",52
"Brooklawn, Camden County",52
"Pequannock, Morris County",52
"Woodlynne, Camden County",52
"Collingswood, Camden County",52
"Raritan, Somerset County",51
"Bloomingdale, Passaic County",50
"Brigantine Beach, Atlantic County",49
"Stanhope, Sussex County",49
"South Boundbrook, Somerset County",49
"Maywood, Bergen County",48
"Moorestown, Burlington County",48
"Deal, Monmouth County",48
"Buena Borough, Atlantic County",48
"Metuchen, Middlesex County",47
"Lake Como Boro, Monmouth County",47
"Carlstadt, Bergen County",46
"Rockaway Twp, Morris County",46
"Little Silver, Monmouth County",46
"Little Ferry, Bergen County",46
"Cedar Grove, Essex County",45
"Greenwich, Gloucester County",45
"Lakehurst, Ocean County",45
"Mount Ephraim, Camden County",45
"South Toms River, Ocean County",45
"Egg Harbor City, Atlantic County",44
"Edgewater Park, Burlington County",43
"Clinton Township, Hunterdon County",43
"Mansfield, Warren County",43
"Springfield, Union County",41
"Medford, Burlington County",41
"Dumont, Bergen County",40
"Park Ridge, Bergen County",39
"Stone Harbor Borough, Cape May County",38
"Somerdale, Camden County",38
"West Long Branch, Monmouth County",37
"Berlin township, Camden County",37
"Summit, Union County",37
"Beach Haven, Ocean County",36
"Kenilworth, Union County",36
"Atlantic Highlands, Monmouth County",36
"Florham Park, Morris County",35
"Prospect Park, Passaic County",35
"New Milford, Bergen County",35
"Haddon, Camden County",35
"Bordentown, Burlington County",35
"Logan Township, Gloucester County",35
"Union Beach, Monmouth County",35
"Chatham boro, Morris County",34
"Warren Township, Somerset County",34
"Watchung, Somerset County",34
"Franklin Boro, Sussex County",33
"Byram, Sussex County",33
"West Milford, Passaic County",33
"Fanwood, Union County",33
"Montvale, Bergen County",32
"Woodstown, Salem County",32
"Lincoln Park, Morris County",32
"Raritan, Hunterdon County",31
"Sparta, Sussex County",31
"East Greenwich, Gloucester County",31
"East Rutherford, Bergen County",30
"Magnolia, Camden County",29
"Pitman, Gloucester County",29
"Englishtown, Monmouth County",29
"Delanco, Burlington County",29
"Hasbrouck Heights, Bergen County",29
"Piscataway, Middlesex County",29
"Cresskill, Bergen County",28
"Woodbury Heights, Gloucester County",28
"Shrewsbury, Monmouth County",28
"North Hanover, Burlington County",27
"Pemberton Boro, Burlington County",27
"Jamesburg, Middlesex County",27
"Linwood, Atlantic County",26
"Tuckerton, Ocean County",26
"Washington, Bergen County",26
"Readington, Hunterdon County",26
"New Providence, Union County",25
"North Haledon, Passaic County",25
"Riverdale, Morris County",25
"Milltown, Middlesex County",24
"Keyport, Monmouth County",24
"Gibbsboro, Camden County",24
"Helmetta, Middlesex County",24
"Oaklyn, Camden County",24
"Wanaque, Passaic County",24
"Hamburg, Sussex County",23
"Garwood, Union County",23
"Hardyston, Sussex County",23
"Harding, Morris County",23
"Cranbury, Middlesex County",23
"Glen Rock, Bergen County",23
"Bernardsville, Somerset County",23
"Monmouth Beach, Monmouth County",22
"Palisades Park, Bergen County",22
"Netcong, Morris County",22
"Margate, Atlantic County",22
"Lopatcong, Warren County",22
"Butler, Morris County",22
"Lambertville, Hunterdon County",21
"Millburn, Essex County",21
"Pohatcong, Warren County",21
"Oakland, Bergen County",21
"Upper Saddle River, Bergen County",21
"Waldwick, Bergen County",21
"Mountainside, Union County",21
"Verona, Essex County",21
"Englewood Cliffs, Bergen County",20
"Franklin Lakes, Bergen County",20
"Kinnelon, Morris County",20
"Harrison Township, Gloucester County",20
"Colts Neck, Monmouth County",20
"Haddon Heights, Camden County",19
"Tenafly, Bergen County",19
"Plumstead, Ocean County",18
"Chester Twp, Morris County",18
"South Hackensack, Bergen County",18
"Morris Plains Boro, Morris County",18
"Hackettstown, Warren County",18
"Washington, Morris County",18
"Merchantville, Camden County",18
"Spring Lake Boro, Monmouth County",17
"Hillsdale, Bergen County",17
"Spring Lake Heights, Monmouth County",16
"Leonia, Bergen County",16
"Haddonfield, Camden County",16
"Avalon, Cape May County",16
"Ship Bottom, Ocean County",15
"Independence, Warren County",15
"Northfield City, Atlantic County",15
"East Hanover, Morris County",15
"Andover Township, Sussex County",15
"Mendham Boro, Morris County",14
"Mount Arlington, Morris County",14
"River Edge, Bergen County",14
"Rumson, Monmouth County",14
"Wenonah, Gloucester County",13
"Lavallette, Ocean County",13
"High Bridge, Hunterdon County",13
"Closter, Bergen County",13
"Brielle, Monmouth County",13
"Mendham twp, Morris County",12
"Rockaway Boro, Morris County",12
"Wood-ridge, Bergen County",12
"Ho-Ho-Kus, Bergen County",12
"Ocean Gate, Ocean County",11
"Delaware, Hunterdon County",11
"Harvey Cedars, Ocean County",11
"Saddle Brook, Bergen County",11
"Pine Beach, Ocean County",11
"West Caldwell, Essex County",11
"Mullica, Atlantic County",11
"Bedminster, Somerset County",10
"Allendale, Bergen County",10
"Longport, Atlantic County",10
"Wallington, Bergen County",9
"Allenhurst, Monmouth County",9
"Elk, Gloucester County",9
"Blairstown, Warren County",9
"Avon-By-the-Sea, Monmouth County",9
"Medford Lakes, Burlington County",9
"Woolwich, Gloucester County",9
"Runnemede Boro, Camden County",9
"Newfield, Gloucester County",9
"Fair Haven, Monmouth County",9
"Peapack gladstone, Somerset County",9
"Old Tappan, Bergen County",8
"Lower Alloways Creek, Salem County",8
"Greenwich, Warren County",8
"Belvidere, Warren County",7
"Laurel Springs, Camden County",7
"Island Heights, Ocean County",7
"Allentown, Monmouth County",7
"Roseland, Essex County",7
"Berkeley Heights, Union County",7
"Mansfield, Burlington County",7
"Eastampton, Burlington County",7
"Ridgefield, Bergen County",6
"Midland Park, Bergen County",6
"Emerson, Bergen County",6
"Boonton Township, Morris County",6
"Chesterfield, Burlington County",6
"West Amwell, Hunterdon County",6
"Surf City, Ocean County",6
"North Caldwell, Essex County",5
"Woodcliff Lake, Bergen County",5
"Long Hill, Morris County",5
"Ogdensburg, Sussex County",5
"Bay Head, Ocean County",5
"River Vale, Bergen County",5
"Lebanon, Hunterdon County",4
"Totowa, Passaic County",4
"Audubon, Camden County",4
"Winfield, Union County",4
"Riverton, Burlington County",4
"Oradell, Bergen County",4
"Haworth, Bergen County",4
"Moonachie, Bergen County",4
"Chesilhurst, Camden County",4
"Town of Clinton, Hunterdon County",4
"Springfield, Burlington County",4
"West Wildwood, Cape May County",3
"Chatham Twp, Morris County",3
"Alpine, Bergen County",3
"Harrington Park, Bergen County",3
"Norwood, Bergen County",3
"Mountain Lakes, Morris County",2
"Frenchtown, Hunterdon County",2
"Demarest, Bergen County",2
"East Newark, Hudson County",2
"Saddle River, Bergen County",2
"Northvale, Bergen County",2
"Pennington Boro, Mercer County",1
"South Harrison, Gloucester County",1
"Far Hills, Somerset County",1
"Essex Fells, Essex County",1
"Montgomery, Somerset County",1
"Mantoloking, Ocean County",1
